Key,English,Luganda,Khmer,Amharic,Dinka,Español,Quechua,Aymara,Français,Português
TAPS_TOO_FAST,Taps are too fast. Please try again.,Onyigidde Kumuukumu,[t],በጣም ፈጣን ንክኪ. እባክሽ ደግመሽ ሞክሪው.,tuany apuol apeidit. theem det.,"Los toques son demasiado rápidos. Por favor, inténtelo de nuevo","ch'aqwaykuna sinchiutqhay. ama hinachu kay, wakmanta qallariy","Limitaxa sinti k’ataki luratawa. Mira suma,  wasitata lurañawa",Intervalles trop courts. Réessayer,Toques muito rápidos. Tente de novo.
REDCAP_UPLOAD_SAVEDFAILED,Data saved but upload failed. Please make sure all your REDCap settings are correct.,Data saved but upload failed. Please make sure all your REDCap settings are correct.,Data saved but upload failed. Please make sure all your REDCap settings are correct.,Data saved but upload failed. Please make sure all your REDCap settings are correct.,Data saved but upload failed. Please make sure all your REDCap settings are correct.,[t],Data saved but upload failed. Please make sure all your REDCap settings are correct.,Data saved but upload failed. Please make sure all your REDCap settings are correct.,[t],[t]
REDCAP_UPLOAD_FAILED,Upload to REDCap failed. Please make sure all your REDCap settings are correct.,Upload to REDCap failed. Please make sure all your REDCap settings are correct.,Upload to REDCap failed. Please make sure all your REDCap settings are correct.,Upload to REDCap failed. Please make sure all your REDCap settings are correct.,Upload to REDCap failed. Please make sure all your REDCap settings are correct.,[t],Upload to REDCap failed. Please make sure all your REDCap settings are correct.,Upload to REDCap failed. Please make sure all your REDCap settings are correct.,[t],[t]
REDCAP_UPLOAD_SUCCESS,Upload to REDCap successful.,Upload to REDCap successful.,Upload to REDCap successful.,Upload to REDCap successful.,Upload to REDCap successful.,La subida a REDCap se ha relizado con exito.,Upload to REDCap successful.,Upload to REDCap successful.,Téléchargement vers REDCap réussi.,Upload bem sucedido a REDCap
REDCAP_UPLOAD_PENDING,Uploading...,Uploading...,Uploading...,Uploading...,Uploading...,Subiendo...,Uploading...,Uploading...,Téléchargement en cours...,Recobrando...
REDCAP_UPLOADING,Uploading ~a of ~a for record number ~a.,Uploading ~a of ~a for record number ~a.,Uploading ~a of ~a for record number ~a.,Uploading ~a of ~a for record number ~a.,Uploading ~a of ~a for record number ~a.,Subiendo ~a de ~a para el numero de registro 3.,Uploading ~a of ~a for record number ~a.,Uploading ~a of ~a for record number ~a.,Téléchargement ~a de ~a pour l'enregistrement numéro ~a.,Recobrando ~a de ~a para registro ~a.
REDCAP_FIELDS,Please fill in all fields.,Please fill in all fields.,Please fill in all fields.,Please fill in all fields.,Please fill in all fields.,"Por favor, rellene todos los datos.",Please fill in all fields.,Please fill in all fields.,Veuillez remplir tous les champs.,Por favor complete todos os itens.
RETRY,Retry,[t],[t],ደግመሽ ሞክሪው,baan theem,[t],[t],[t],Réessayer,[t]
IGNORE,Ignore,[t],[t],ተይው,akac gaam,[t],[t],[t],Ignorer,Ignorar
OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
INCONSISTENT,Inconsistent,Tebikwatagana,[t],ተመሳሳይ ያልሆነ,aci yeic beeric,Inconsistente,mana unaypaq,jani wakisiri,Inconsistant,Inconsistente
M_MEDIAN,M = Median Time Interval,M = amakati ng'obala essaawa mu kussa,[t],አ = አማካይ የግዜ መጠን,M = yuol ci thong,M = Mediana del tiempo transcurrido entre toques,M = sapa ratu llankhay,"M = Qhawqha samsutasa utji,  uka  wakisirinaka tantiyañataki,",M = Intervalle médian,M = Mediana de intervalo de tempo
C_CONSISTENCY,C = Consistency Threshold,C = webikoma okukwatagana,[t],ተ = የተመሳሳነት መነሻ,C = beericde,C = Umbral de consistencia,C = chaykamalla kallpuchay,C = Ukakama  aski wakisiri.,R = Limite de régularité,C = Limite de Consistencia
M_pC,M + C,M + C,M + C,አ+ተ,M + C,M + C,M + C,M + C,M + R,M + C
M,M,M,M,አ,M,M,M,M,M,M
M_mC,M - C,M - C,M - C,አ-ተ,M - C,M - C,M - C,M - C,M - R,M - C
REDCAP,REDCap,REDCap,REDCap,REDCap,REDCap,REDCap,REDCap,REDCap,REDCap,REDCap
HOST,Host:,Host:,Host:,Host:,Host:,Servidor:,Host:,Host:,Hôte :,Host:
URL,URL:,URL:,URL:,URL:,URL:,URL:,URL:,URL:,Adresse URL:,URL:
TOKEN,API Token:,API Token:,API Token:,API Token:,API Token:,Token de API:,API Token:,API Token:,Clé API :,Sinal de API:
FORM,Instrument:,Instrument:,Instrument:,Instrument:,Instrument:,Instrumento:,Instrument:,Instrument:,Instrument :,Instrumento:
EVENT,Event:,Event:,Event:,Event:,Event:,Evento:,Event:,Event:,Événement :,Evento:
UPLOAD,Upload to REDCap,Upload to REDCap,Upload to REDCap,Upload to REDCap,Upload to REDCap,Subir a REDCap,Upload to REDCap,Upload to REDCap,Télécharger vers REDCap,Recobro para REDCap
RECORD_NO,Record Number:,Record Number:,Record Number:,Record Number:,Record Number:,Numero de registro:,Record Number:,Record Number:,Numéro d'enregistrement :,Registre o numero:
REDCAP_USE?,Save data for upload to REDCap?,Save data for upload to REDCap?,Save data for upload to REDCap?,Save data for upload to REDCap?,Save data for upload to REDCap?,[t],Save data for upload to REDCap?,Save data for upload to REDCap?,[t],[t]
LONGITUDINAL?,Longitudinal project?,Longitudinal project?,Longitudinal project?,Longitudinal project?,Longitudinal project?,¿El proyecto es longitudinal?,Longitudinal project?,Longitudinal project?,Projet longitudinale ?,Coleta de dados longitudinais?
REP_EVENTS?,Repeatable events?,Repeatable events?,Repeatable events?,Repeatable events?,Repeatable events?,¿Los eventos son repetibles?,Repeatable events?,Repeatable events?,Événements répétables ?,Eventos repetivel?
REP_FORMS?,Repeatable instruments?,Repeatable instruments?,Repeatable instruments?,Repeatable instruments?,Repeatable instruments?,¿Los instrumentos son repetibles?,Repeatable instruments?,Repeatable instruments?,Instruments répétables ?,Instrumentos repetivel?
UPLOAD_SAVE?,Upload all on save?,Upload all on save?,Upload all on save?,Upload all on save?,Upload all on save?,¿Subir todos los datos al guardar?,Upload all on save?,Upload all on save?,Télécharger tout à la sauvegarde ?,Recobro tudo quanda guardou
BACK,Back,Back,Back,Back,Back,Atras,Back,Back,Retour,Retornar
SAVE,Save,Save,Save,Save,Save,Guardar,Save,Save,Sauvegarder,Guardar
UPLOAD_SIMPLE,Upload,Upload,Upload,Upload,Upload,Subir,Upload,Upload,Télécharger,Recobro
REDCAP_SAVE,Save data for REDCap,Save data for REDCap,Save data for REDCap,Save data for REDCap,Save data for REDCap,[t],Save data for REDCap,Save data for REDCap,Sauvegarder les données pour REDCap,[t]
TAPS,Number of taps:,Number of taps:,Number of taps:,Number of taps:,Number of taps:,Número de toques:,Number of taps:,Number of taps:,Nombre de tapes :,Número de toques:
ONEMIN,Tap for one minute.,Tap for one minute.,Tap for one minute.,Tap for one minute.,Tap for one minute.,Tocar durante un minuto.,Tap for one minute.,Tap for one minute.,Taper pour une minute.,Toque por um minuto.
CHECK,Use RRate algorithm.,Use RRate algorithm.,Use RRate algorithm.,Use RRate algorithm.,Use RRate algorithm.,Utilizar el algoritmo RRate.,Use RRate algorithm.,Use RRate algorithm.,Utiliser l'algorithme RRate.,Use o algoritma RRate.
