District,Health Sub District,Health Facility Name
Wakiso,Kyadondo North,Nabweru
Wakiso,Kyadondo North,Namulonge
Wakiso,Kyadondo North,Nansana
Wakiso,Kyadondo North,Ttikkalu
Wakiso,Kyadondo North,Wamala
Wakiso,Kyadondo South,Atom Medical Centre
Wakiso,Kyadondo South,Bunamwaya
Wakiso,Kyadondo South,Lufuka Valley
Wakiso,Kyadondo South,Masajja Kyabagu
Wakiso,Kyadondo South,Mild May
Wakiso,Kyadondo South,Mutundwe
Wakiso,Kyadondo South,Mutungo
Wakiso,Kyadondo South,Ndejje
Wakiso,Kyadondo South,Seguku
Wakiso,Kyadondo South,St. Apolo
Wakiso,Kyadondo South,St. Magdalene Lweza
Kalungu,Kalungu West,St. Joseph Of The Good Shepherd Kyamulibwa
Kalungu,Kalungu West,Kalungu
Masaka,Bukoto East,Kako
Wakiso,Busiro East,Bususseba
Wakiso,Kyadondo North,St. Luke Kazo
Wakiso,Kyadondo East,Namugongo Foyer De Charity
Mpigi,Mawokota North,Buyiga
Mpigi,Mawokota North,Mpigi Orthodox
Wakiso,Kyadondo North,Ssebi
Wakiso,Busiro North,SOS Herman Gmeiner - Kakiri
Wakiso,Busiro North,Ummar Bin Khatab-NR
Wakiso,Kyadondo East,Bweyogerere Moslem (Hassan Turabu)
Wakiso,Entebbe Municipality,Corsu Uganda
Wakiso,Kyadondo North,Fountain of Hope
Wakiso,Busiro East,Life Care Medical Centre
Wakiso,Kyadondo East,Taqua
Wakiso,Kyadondo East,Bweyogerere Hassan Turabi
Wakiso,Busiro East,St. Anastasia
Wakiso,Busiro South,Bussi
Wakiso,Kyadondo East,Zia Angelina
Kalungu,Kalungu East,Mukwano Medical Services
Kalungu,Kalungu East,St Francis of Assis
Lwengo,Bukoto South,Engeye Clinic
Masaka,Masaka Municipality,All Saints Clinic
Masaka,Masaka Municipality,Bulamu Medical Clinic
Masaka,Masaka Municipality,Byansi Medical Services
Masaka,Masaka Municipality,Mukwaya Medical Centre
Masaka,Bukoto East,St. Damian Nursing Home
Masaka,Masaka Municipality,Sure Medical Clinic
Wakiso,Kyadondo East,Gwatilo
Wakiso,Busiro East,Busabala Nursing Home
Wakiso,Busiro East,Mildmay Uganda
Wakiso,Busiro East,Wentz Medical Center
Wakiso,Kyadondo East,Faith Mulira Medical Center
Wakiso,Busiro North,Triam Medical Center
Wakiso,Kyadondo East,Saidina Abubakar
Wakiso,Busiro South,Rapha Medical Center
Lwengo,Bukoto West,St. Peters Busibo
Kalungu,Kalungu East,Bbaala
Wakiso,Busiro South,St. Kizito Kijabijo
Mpigi,Mawokota South,Kitakyusa
Mpigi,Mawokota North,Double Cure Medical Centre
Sembabule,Mawogola,Bamu Medical Centre
